Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,66214,2021,01,01,4.2,1,N
IDCJAC0009,66214,2021,01,02,5.2,1,N
IDCJAC0009,66214,2021,01,03,7.8,1,N
IDCJAC0009,66214,2021,01,04,0.6,1,N
IDCJAC0009,66214,2021,01,05,13.0,1,N
IDCJAC0009,66214,2021,01,06,1.6,1,N
IDCJAC0009,66214,2021,01,07,1.8,1,N
IDCJAC0009,66214,2021,01,08,5.4,1,N
IDCJAC0009,66214,2021,01,09,0.0,1,N
IDCJAC0009,66214,2021,01,10,0.0,1,N
IDCJAC0009,66214,2021,01,11,0.0,1,N
IDCJAC0009,66214,2021,01,12,0.0,1,N
IDCJAC0009,66214,2021,01,13,0.0,1,N
IDCJAC0009,66214,2021,01,14,0.0,1,N
IDCJAC0009,66214,2021,01,15,0.0,1,N
IDCJAC0009,66214,2021,01,16,0.0,1,N
IDCJAC0009,66214,2021,01,17,0.0,1,N
IDCJAC0009,66214,2021,01,18,0.0,1,N
IDCJAC0009,66214,2021,01,19,0.0,1,N
IDCJAC0009,66214,2021,01,20,1.2,1,N
IDCJAC0009,66214,2021,01,21,0.2,1,N
IDCJAC0009,66214,2021,01,22,0.0,1,N
IDCJAC0009,66214,2021,01,23,0.0,1,N
IDCJAC0009,66214,2021,01,24,0.0,1,N
IDCJAC0009,66214,2021,01,25,0.0,1,N
IDCJAC0009,66214,2021,01,26,0.0,1,N
IDCJAC0009,66214,2021,01,27,0.0,1,N
IDCJAC0009,66214,2021,01,28,19.0,1,N
IDCJAC0009,66214,2021,01,29,7.8,1,N
IDCJAC0009,66214,2021,01,30,29.6,1,N
IDCJAC0009,66214,2021,01,31,0.4,1,N
IDCJAC0009,66214,2021,02,01,0.8,1,N
IDCJAC0009,66214,2021,02,02,17.4,1,N
IDCJAC0009,66214,2021,02,03,5.0,1,N
IDCJAC0009,66214,2021,02,04,0.0,1,N
IDCJAC0009,66214,2021,02,05,0.0,1,N
IDCJAC0009,66214,2021,02,06,0.0,1,N
IDCJAC0009,66214,2021,02,07,1.4,1,N
IDCJAC0009,66214,2021,02,08,0.2,1,N
IDCJAC0009,66214,2021,02,09,0.0,1,N
IDCJAC0009,66214,2021,02,10,2.4,1,N
IDCJAC0009,66214,2021,02,11,0.2,1,N
IDCJAC0009,66214,2021,02,12,0.0,1,N
IDCJAC0009,66214,2021,02,13,15.4,1,N
IDCJAC0009,66214,2021,02,14,14.4,1,N
IDCJAC0009,66214,2021,02,15,0.0,1,N
IDCJAC0009,66214,2021,02,16,7.8,1,N
IDCJAC0009,66214,2021,02,17,9.2,1,N
IDCJAC0009,66214,2021,02,18,0.0,1,N
IDCJAC0009,66214,2021,02,19,7.0,1,N
IDCJAC0009,66214,2021,02,20,0.0,1,N
IDCJAC0009,66214,2021,02,21,0.0,1,N
